Technique,Aggregate datasource,Datasource,Area,Application,Lab,Link,UNDP region,Note
Feature detection,Earth observation,Drone imagery,Precision agriculture and pastoralism,Crop disease detection,Cameroon,https://www.undp.org/cameroon/blog/will-drone-and-artificial-intelligence-help-increase-income-cameroonian-cocoa-planters,RBA,
Feature detection,Earth observation,Drone imagery,Precision agriculture and pastoralism,Crop disease detection,Cabo verde,,RBA,
Feature detection,Earth observation,Satellite imagery,Pollution,Dump site detection,Guatemala,,RBLAC,
Feature detection,Earth observation,Satellite imagery,Pollution,Dump site detection,Serbia,https://www.undp.org/serbia/blog/can-artificial-intelligence-and-satellite-images-help-make-our-rivers-free-waste,RBEC,Low accuracy because of lack of training data
Feature detection,Earth observation,Satellite imagery,Pollution,Dump site detection,Vietnam,https://www.undp.org/vietnam/blog/remote-sensing-smart-city-solution-municipal-waste-management,RBAP,
Feature detection,Earth observation,Satellite imagery,Pollution,Plastic waste detection in river systems,The Philipines,https://www.undp.org/philippines/blog/experiment-satellite-remote-sensing-plastic-waste-pasig-river,RBAP,
Feature detection,Earth observation,Satellite imagery,Pollution,Brick kiln detection,India,https://www.undp.org/india/blog/how-geoai-platform-helping-target-brick-kiln-hotspots-air-pollution,RBAP,
Feature detection,Earth observation,Satellite imagery,Environmental monitorig,Mine detection,Bolivia,https://learningplans.sdg-innovation-commons.org/en/edit/pad?id=2060&source=1895&display=adjacent-source,RBLAC,
"Land use/ land cover classification, and vegetation indices",Earth observation,Satellite imagery,Precision agriculture and pastoralism,Detection of sustained grazing areas over time ,Somalia,,RBAS,
"Land use/ land cover classification, and vegetation indices",Earth observation,Satellite imagery,Precision agriculture and pastoralism,Detection of sustained dry croplands over time,Niger,,RBA,
"Land use/ land cover classification, and vegetation indices",Earth observation,Satellite imagery,Precision agriculture and pastoralism,Detection of forest boundaries over time,Ecuador,,RBLAC,
"Land use/ land cover classification, and vegetation indices",Earth observation,Satellite imagery,Precision agriculture and pastoralism,Multilayer map generation for agriculture,India,https://dicra.undp.org.in/,RBAP,
"Land use/ land cover classification, and vegetation indices",Earth observation,Satellite imagery,Disaster risk management,Flood detection,Mauritania,,RBA,
"Land use/ land cover classification, and vegetation indices",Earth observation,Satellite imagery,Disaster risk management,Landslide detection,Kyrgyzstan,,RBEC,Lack of training data
Text classification,Online posts,Online reviews,Tourism,Topic analysis of tourist reviews,Jordan,https://public.tableau.com/app/profile/mohtaz.younes/viz/SentimentAnalysisofTourisminJordanonTripAdvisor/Main?publish=yes,RBAS,
Text classification,Online posts,Online reviews,Tourism,Sentiment analysis of toursit reviews,Malawi,,RBA,
Text classification,Online posts,Online reviews,Tourism,Sentiment analysis of toursit reviews,Tanzania,https://www.undp.org/tanzania/blog/re-thinking-tourism-zanzibar-how-artificial-intelligence-creating-value-industry,RBA,
Text classification,Online posts,Social media posts,Misinformation,Misinformation on Covid19,Tanzania,https://www.undp.org/tanzania/blog/using-artificial-intelligence-tackle-infodemic-tanzania,RBA,
Text classification,Online posts,Social media posts,Gender,Gender-related toxic speech detection,Kyrgyzstan,,RBEC,
Text classification,Online posts,Social media posts,Gender,Gender-related toxic speech detection,Uruguay,,RBLAC,
Text classification,Online posts,Social media posts,Misinformation,???,Jordan,https://learningplans.sdg-innovation-commons.org/en/edit/pad?id=2039&source=1917&display=adjacent-source,RBAS,
Generative AI,Synthetic data,Pre-trained text model,Operations support,"R script generation for simple, baseline data analyses and visualizations",Guatemala,https://chat.openai.com/share/7c1972d8-a36d-4b79-8730-4a361d13d2da,RBLAC,
Generative AI,Synthetic data,Pre-trained text model,Education,Personalized ducational material generation,Cameroon,https://learningplans.sdg-innovation-commons.org/en/edit/pad?id=1996&source=1928&display=adjacent-source,RBA,
Generative AI,Synthetic data,Pre-trained text model + political speeches,Democratic governance,Unified political speech generation,Argentina,https://www.undp.org/es/argentina/ai-argentine-intelligence,RBLAC,
Generative AI,Synthetic data,Pre-trained image model,Gender,Analysis of gender stereotypes in STEM fields,Serbia,https://www.undp.org/serbia/blog/reproducing-inequality-how-ai-image-generators-show-biases-against-women-stem,RBEC,
Generative AI,Synthetic data,Pre-trained image model + urban and vegetation photos,Urbanism,Green urbanism image generation during public consultations,North Macedonia,,RBEC,
Causal analysis,Network data,Linked profiles,Gender,Gender inequality in the workplace,Serbia,,RBEC,
